chain	base
rpc	https://base-rpc.publicnode.com
block	50397702
factory	0xDd3FEa01cD550C9EFfC893f346690b9A649f35EF
entry	0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4
implementation	0xe40ccB2D94975c51bff0C004eFDfd9B3a5796fA4
factory_code_bytes	2514
entry_code_bytes	23971
implementation_code_bytes	23971
factory_code_keccak	0xe32e570a2abd6fc3202a5173b1a470ad75dc6f1fa18baff3ff89622f4740e148
entry_code_keccak	0x3e49df91bd8b405798c4445a25a1e4487b07d35f7bce17c2c22d341f8f87bd5d
implementation_code_keccak	0x3e49df91bd8b405798c4445a25a1e4487b07d35f7bce17c2c22d341f8f87bd5d
